2026-05-06 09:41:22.211 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Starting HrmsApplication using Java 21.0.7 with PID 16160 (C:\Users\Yash\Desktop\gm_hrms_backend_railway-main\target\classes started by Yash in C:\Users\Yash\Desktop\gm_hrms_backend_railway-main)
2026-05-06 09:41:22.261 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - The following 1 profile is active: "dev"
2026-05-06 09:41:37.096 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-06 09:41:48.998 WARN  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-05-06 09:41:54.493 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 09:41:54.840 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 09:41:55.913 INFO  [restartedMain] c.g.h.r.s.i.JasperPayslipReportService - Payslip JRXML compiled and cached successfully from 'reports/payslip.jrxml'.
2026-05-06 09:41:56.698 WARN  [restartedMain] o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-06 09:41:59.195 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Started HrmsApplication in 39.319 seconds (process running for 41.707)
2026-05-06 10:22:32.622 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Starting HrmsApplication using Java 21.0.7 with PID 10036 (C:\Users\Yash\Desktop\gm_hrms_backend_railway-main\target\classes started by Yash in C:\Users\Yash\Desktop\gm_hrms_backend_railway-main)
2026-05-06 10:22:32.634 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - The following 1 profile is active: "dev"
2026-05-06 10:22:50.868 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-06 10:23:04.527 WARN  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-05-06 10:23:10.711 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 10:23:11.057 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 10:23:12.153 INFO  [restartedMain] c.g.h.r.s.i.JasperPayslipReportService - Payslip JRXML compiled and cached successfully from 'reports/payslip.jrxml'.
2026-05-06 10:23:12.945 WARN  [restartedMain] o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-06 10:23:15.264 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Started HrmsApplication in 44.947 seconds (process running for 47.044)
2026-05-06 10:25:26.918 WARN  [http-nio-8080-exec-1] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:26.919 WARN  [http-nio-8080-exec-5] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:26.967 WARN  [http-nio-8080-exec-1] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:26.983 WARN  [http-nio-8080-exec-5] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:27.058 WARN  [http-nio-8080-exec-3] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:27.073 WARN  [http-nio-8080-exec-7] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:27.083 WARN  [http-nio-8080-exec-7] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:27.073 WARN  [http-nio-8080-exec-3] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:27.293 WARN  [http-nio-8080-exec-7] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:27.320 WARN  [http-nio-8080-exec-7] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:27.368 WARN  [http-nio-8080-exec-8] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:27.381 WARN  [http-nio-8080-exec-8] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:41.183 WARN  [http-nio-8080-exec-9] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:41.185 WARN  [http-nio-8080-exec-2] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types/stats
2026-05-06 10:25:41.192 WARN  [http-nio-8080-exec-9] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:41.216 WARN  [http-nio-8080-exec-2] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types/stats.]
2026-05-06 10:25:41.264 WARN  [http-nio-8080-exec-4] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:41.264 WARN  [http-nio-8080-exec-1] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types/stats
2026-05-06 10:25:41.267 WARN  [http-nio-8080-exec-4] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:41.270 WARN  [http-nio-8080-exec-1] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types/stats.]
2026-05-06 10:25:41.334 WARN  [http-nio-8080-exec-4] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:41.344 WARN  [http-nio-8080-exec-4] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:25:41.392 WARN  [http-nio-8080-exec-5] o.s.web.servlet.PageNotFound - No mapping for GET /api/api/document-types
2026-05-06 10:25:41.400 WARN  [http-nio-8080-exec-5] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.servlet.NoHandlerFoundException: No endpoint GET /api/api/document-types.]
2026-05-06 10:58:18.429 WARN  [http-nio-8080-exec-3] c.g.h.e.GlobalExceptionHandler - Resource not found: No attendance record found for today.
2026-05-06 10:58:18.485 WARN  [http-nio-8080-exec-3] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.gm.hrms.exception.ResourceNotFoundException: No attendance record found for today.]
2026-05-06 10:58:18.602 WARN  [http-nio-8080-exec-6] c.g.h.e.GlobalExceptionHandler - Resource not found: No attendance record found for today.
2026-05-06 10:58:18.605 WARN  [http-nio-8080-exec-6] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.gm.hrms.exception.ResourceNotFoundException: No attendance record found for today.]
2026-05-06 14:02:16.521 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Starting HrmsApplication using Java 21.0.7 with PID 18424 (C:\Users\Yash\Desktop\gm_hrms_backend_railway-main\target\classes started by Yash in C:\Users\Yash\Desktop\gm_hrms_backend_railway-main)
2026-05-06 14:02:16.535 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - The following 1 profile is active: "dev"
2026-05-06 14:02:33.862 WARN  [restartedMain] org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-06 14:02:49.718 WARN  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2026-05-06 14:02:57.193 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 14:02:57.646 WARN  [restartedMain] n.s.j.engine.xml.JRTextFieldFactory - The 'isStretchWithOverflow' attribute is deprecated. Use the 'textAdjust' attribute instead.
2026-05-06 14:02:58.852 INFO  [restartedMain] c.g.h.r.s.i.JasperPayslipReportService - Payslip JRXML compiled and cached successfully from 'reports/payslip.jrxml'.
2026-05-06 14:02:59.894 WARN  [restartedMain] o.s.b.j.a.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-06 14:03:03.405 INFO  [restartedMain] com.gm.hrms.GMHrmsApplication - Started HrmsApplication in 49.971 seconds (process running for 52.849)
2026-05-06 14:04:17.918 WARN  [http-nio-8080-exec-2] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.gm.hrms.exception.InvalidRequestException: Invalid email or password. Please try again.]
