2026-05-14 09:59:43.023 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=188ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-14 09:59:57.586 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=382ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-14 10:00:00.486 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=629ms | DESC=User login attempt | ERROR=-
2026-05-14 10:57:43.771 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=126ms | DESC=Access token refresh | ERROR=-
2026-05-14 11:23:00.731 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=412ms | DESC=User login attempt | ERROR=-
2026-05-14 11:59:26.540 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=126ms | DESC=Access token refresh | ERROR=-
2026-05-14 12:38:16.679 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=205ms | DESC=User login attempt | ERROR=-
2026-05-14 17:23:28.570 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=50ms | DESC=Access token refresh | ERROR=Refresh token not found
2026-05-14 17:51:49.997 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=249ms | DESC=User login attempt | ERROR=-
2026-05-14 17:52:16.689 [AUDIT] ACTION=SEARCH_LEAVE_BALANCE | RESOURCE=LeaveBalance | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=131ms | DESC=Search leave balances with filter | ERROR=-
2026-05-14 17:52:16.760 [AUDIT] ACTION=SEARCH_LEAVE_BALANCE | RESOURCE=LeaveBalance | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=202ms | DESC=Search leave balances with filter | ERROR=-
2026-05-14 17:52:43.993 [AUDIT] ACTION=SEARCH_LEAVE_BALANCE | RESOURCE=LeaveBalance | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=65ms | DESC=Search leave balances with filter | ERROR=-
2026-05-14 17:52:44.106 [AUDIT] ACTION=SEARCH_LEAVE_BALANCE | RESOURCE=LeaveBalance | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=178ms | DESC=Search leave balances with filter | ERROR=-
2026-05-14 17:53:48.160 [AUDIT] ACTION=UPDATE | RESOURCE=RoleUserAssignment | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=105ms | DESC=Assign users to role | ERROR=could not execute statement [ERROR: duplicate key value violates unique constraint "uk_role_person"
  Detail: Key (role_type, personal_information_id)=(HR, 4) already exists.] [insert into role_user_assignments (active,assigned_by,created_at,created_by,personal_information_id,role_type,updated_at,updated_by) values (?,?,?,?,?,?,?,?)]; SQL [insert into role_user_assignments (active,assigned_by,created_at,created_by,personal_information_id,role_type,updated_at,updated_by) values (?,?,?,?,?,?,?,?)]; constraint [uk_role_person]
2026-05-14 18:00:22.207 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=81ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-14 18:00:44.793 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=98ms | DESC=User login attempt | ERROR=-
2026-05-14 18:16:48.505 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=24ms | DESC=Access token refresh | ERROR=-
